table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_identity,identity_generation
public,domestic_supplier_products,3,discovery_recommendation_id,bigint,pg_catalog,int8,null,64,0,YES,null,NO,null
public,domestic_supplier_products,4,bundle_recommendation_id,bigint,pg_catalog,int8,null,64,0,YES,null,NO,null
public,domestic_supplier_products,5,provider,text,pg_catalog,text,null,null,null,NO,'domeggook'::text,NO,null
public,domestic_supplier_products,6,provider_product_id,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,domestic_supplier_products,7,provider_product_url,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,domestic_supplier_products,8,provider_product_name,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,domestic_supplier_products,9,provider_sku,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,domestic_supplier_products,10,minimum_order_quantity,integer,pg_catalog,int4,null,32,0,NO,1,NO,null
public,domestic_supplier_products,11,current_unit_cost,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,domestic_supplier_products,12,stock_status,text,pg_catalog,text,null,null,null,NO,'unknown'::text,NO,null
public,domestic_supplier_products,13,mapping_status,text,pg_catalog,text,null,null,null,NO,'active'::text,NO,null
public,domestic_supplier_products,14,last_checked_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,YES,null,NO,null
public,domestic_supplier_products,15,created_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,domestic_supplier_products,16,updated_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,fulfillment_providers,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,fulfillment_providers,2,name,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,fulfillment_providers,3,provider_code,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,fulfillment_providers,4,website_url,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,fulfillment_providers,5,contact,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,fulfillment_providers,6,supports_kitting,boolean,pg_catalog,bool,null,null,null,NO,false,NO,null
public,fulfillment_providers,7,supports_coupang_growth,boolean,pg_catalog,bool,null,null,null,NO,false,NO,null
public,fulfillment_providers,8,supports_api,boolean,pg_catalog,bool,null,null,null,NO,false,NO,null
public,fulfillment_providers,9,domeggook_partner,boolean,pg_catalog,bool,null,null,null,NO,false,NO,null
public,fulfillment_providers,10,receiving_fee,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,fulfillment_providers,11,storage_fee_per_unit,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,fulfillment_providers,12,picking_fee,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,fulfillment_providers,13,kitting_fee,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,fulfillment_providers,14,packaging_fee,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,fulfillment_providers,15,outbound_fee,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
public,fulfillment_providers,16,coupang_inbound_fee,numeric,pg_catalog,numeric,null,14,2,NO,0,NO,null
